Input,Target,Prediction
road walks man horizon toward,man walks road toward horizon,man walks road toward horizon
farmer field plows grain food grows,farmer plows field grows grain food,farmer plows field grows grain food
behind king great servant the the stands,the servant stands behind the great king,the servant stands behind the great king
thousand power (plural authority thing marker) stroke god single stroke,single stroke stroke (plural marker) thousand thing power authority god,single stroke stroke (plural marker) thousand thing power authority god
journey horizon (ba) west god underground soul life,west horizon underground soul (ba) journey life god,west horizon underground soul (ba) journey life god
heart hears the the god cry great,the great god hears the heart cry,the great god hears the heart cry
on scribe the the writing makes brick,the scribe makes writing on the brick,the scribe makes writing on the brick
love life milk child mother jar,mother milk jar child life love,mother milk jar child life love
peace finds sky in the the soul,the soul finds peace in the sky,the soul finds peace in the sky
the stability gives to king the god,the god gives stability to the king,the god gives stability to the king
all backbone lord of the sees the,the lord of all sees the backbone,the lord of all sees the backbone
path the brick makes servant a of,the servant makes a path of brick,the servant makes a path of brick
in house snake the woman sees no,the woman sees no snake in house,the woman sees no snake in house
milk jar a of the gives master,the master gives a jar of milk,the master gives a jar of milk
gives peace god the to heart the,the god gives peace to the heart,the god gives peace to the heart
life people heart peace satisfy / love,heart love peace / satisfy life people,people love life peace / satisfy heart
the a gate brick scribe makes of,the scribe makes a gate of brick,the scribe makes a gate of brick
master the djed behind stands the pillar,the master stands behind the djed pillar,the master stands behind the djed pillar
offering plant life / reed field pellet grain leaf,reed leaf plant field grain / pellet life offering,reed leaf plant field grain / pellet life offering
life / peace people heart satisfy love,heart love peace / satisfy life people,people love life peace / satisfy heart
king of gives offering the an grain,the king gives an offering of grain,the king gives an offering of grain
heart fear force strength fire / storm,fire storm strength / force fear heart,fire storm fear strength / force heart
the becomes bright great a star soul,the great soul becomes a bright star,the great soul becomes a bright star
finds man venerated in the house peace,the venerated man finds peace in house,the venerated man finds peace in house
sees horizon star bird of head god eye sky,head of bird sky horizon sees eye god star,head of bird sky horizon sees eye god star
the the scribe on clump writes papyrus,the scribe writes on the papyrus clump,the scribe writes on the papyrus clump
above stars soul the sees a thousand,the soul sees a thousand stars above,the soul sees a thousand stars above
power (great) god swallow star swallow life sky,swallow swallow (great) sky star god life power,swallow swallow (great) sky star god life power
life heart woman love seated mother people,seated woman mother life love heart people,seated woman mother life love heart people
slope hill travel hill desert road,hill slope road desert hill travel,hill slope road desert hill travel
a holds rope tethering the servant now,the servant holds a tethering rope now,the servant holds a tethering rope now
the peace gives the world to god,the god gives peace to the world,the god gives peace to the world
a sees lotus plant woman the beautiful,the woman sees a beautiful lotus plant,the woman sees a beautiful lotus plant
long study scribe learns through writing,scribe learns writing through long study,scribe learns writing through long study
road hill desert hill slope travel,hill slope road desert hill travel,hill slope road desert hill travel
the scribe reads papyrus now scroll the,the scribe reads the papyrus scroll now,the scribe reads the papyrus scroll now
fox master the sees skins three the,the master sees the three fox skins,the master sees the three fox skins
the gives to strength servant master the,the master gives strength to the servant,the master gives strength to the servant
birth mother begets woman / life youth gives,gives birth / begets mother woman life youth,gives birth / begets mother woman life youth
(ba) god soul horizon life emerge star sky,emerge horizon sky life god soul (ba) star,emerge horizon sky life god soul (ba) star
a father the ring to child gives,the father gives a ring to child,the father gives a ring to child
great star bright becomes a soul the,the great soul becomes a bright star,the great soul becomes a bright star
all the sees lord horizon of the,the lord of all sees the horizon,the lord of all sees the horizon
the jar master sees milk the altar,the master sees the milk jar altar,the master sees the milk jar altar
a heart fire stone becomes the in,the heart becomes a stone in fire,the heart becomes a stone in fire
the scroll the scribe on papyrus writes,the scribe writes on the papyrus scroll,the scribe writes on the papyrus scroll
bread a the thousand gives god loaves,the god gives a thousand loaves bread,the god gives a thousand loaves bread
god owl above sky eye star sees,owl sees eye god sky star above,owl sees eye god sky star above
the a plant woman sees beautiful lotus,the woman sees a beautiful lotus plant,the beautiful woman sees a lotus plant
hand power force forearm king / authority strength life,forearm hand strength / force power authority life king,forearm hand strength / force power authority life king
in finds a house the woman jar,the woman finds a jar in house,the woman finds a jar in house
town in finds a woman ring the,the woman finds a ring in town,the woman finds a ring in town
lotus does ring make the a woman,the woman does make a lotus ring,the woman does make a lotus ring
for uses hoe man the a earth,the man uses a hoe for earth,the man uses a hoe for earth
power of tethering authority rope rope coil ring king god,tethering rope coil of rope ring power authority king god,coil of rope tethering rope ring power authority king god
desert emerges cobra the hill the from,the cobra emerges from the desert hill,the cobra emerges from the desert hill
light emerge god life sky horizon,emerge horizon sky light life god,emerge horizon sky light life god
king face god on power throne / seated (upon) /,face / on (upon) throne seated god / king power,face / on (upon) throne seated god / king power
/ king authority fear force strength power club,club strength / force authority king power fear,club strength / force authority king power fear
hand king power strength forearm / force life authority,forearm hand strength / force power authority life king,forearm hand strength / force power authority life king
father hears the of the heart son,the father hears the heart of son,the father hears the heart of son
a youth papyrus clump behind hides the,the youth hides behind a papyrus clump,the youth hides behind a papyrus clump
carries water vessel a of woman the,the woman carries a vessel of water,the woman carries a vessel of water
power future youth people strength force life /,youth strength / force life power people future,youth strength / force life power people future
god handle of with loaf peace bread temple offering altar basket / people,basket with handle offering loaf of bread god temple peace / altar people,basket with handle offering loaf of bread god temple peace / altar people
authority forearm force power strength / hand,forearm hand power authority strength / force,forearm hand power authority strength / force
king power tethering rope coil ring god of rope authority,tethering rope coil of rope ring power authority king god,coil of rope tethering rope ring power authority king god
house force fire life / strength,fire strength / force life house,fire strength / force life house
hides the cobra hill slope in the,the cobra hides in the hill slope,the cobra hides in the hill slope
the desert in lake a find people,the people find a lake in desert,the people find a lake in desert
a stone king makes temple of the,the king makes a temple of stone,the king makes a temple of stone
son heart of the the father hears,the father hears the heart of son,the father hears the heart of son
placenta life youth mother father people,father mother placenta life youth people,father mother placenta life youth people
fire strength house force / life,fire strength / force life house,fire strength / force life house
the a becomes in soul sky bird,the soul becomes a bird in sky,the soul becomes a bird in sky
sees of all horizon the the lord,the lord of all sees the horizon,the lord of all sees the horizon
finds in the city soul home a,the soul finds a home in city,the soul finds a home in city
lord hears master of the the voice,the lord hears the voice of master,the lord hears the voice of master
rack in pellet offering / jar grain jars,grain / pellet jar jars in rack offering,grain / pellet jar jars in rack offering
a lotus the nearby woman finds plant,the woman finds a lotus plant nearby,the woman finds a lotus plant nearby
writing master table the behind the sits,the master sits behind the writing table,the master sits behind the writing table
soul of life lake finds the the,the soul finds the lake of life,the soul finds the lake of life
star a shines top mountain the above,a star shines above the mountain top,a star shines above the mountain top
the returns to star soul the above,the soul returns to the star above,the soul returns to the star above
gives the king authority scribe to the,the king gives authority to the scribe,the king gives authority to the scribe
thousand things lord the beautiful gives a,the lord gives a thousand beautiful things,the lord gives a thousand beautiful things
