merged_sentences = [
    "a basket with handle sits on the brick",
    "a beautiful bird flies above the desert hill",
    "a beautiful bird flies above the green lake",
    "a beautiful bird sits on the city wall",
    "a beautiful bird sits on the papyrus clump",
    "a beautiful bird sits on the reed shelter",
    "a beautiful bird sits on the temple gate",
    "a beautiful bird sits on the temple wall",
    "a beautiful face is seen in the temple",
    "a beautiful face is seen in the water",
    "a beautiful lotus plant grows in the lake",
    "a beautiful lotus plant grows in the river",
    "a bird head is on the stone wall",
    "a bird head is on the temple wall",
    "a bird head sits above the temple door",
    "a bird head sits above the temple gate",
    "a chisel is used to cut the stone",
    "a cobra hides behind the large clay brick",
    "a cobra hides behind the large door bolt",
    "a cobra hides behind the large stone brick",
    "a cobra moves behind the large clay brick",
    "a cobra moves behind the large door bolt",
    "a cobra moves through the thick papyrus clump",
    "a cobra moves under the large door bolt",
    "a cobra sits behind the door bolt lock",
    "a cobra sits behind the large door bolt",
    "a cobra sits upon a coil of rope",
    "a coil of rope lies behind the basket",
    "a desert hare hides behind the hill slope",
    "a desert hare hides in the green field",
    "a desert hare hides in the green plant",
    "a desert hare hides in the papyrus clump",
    "a desert hare hides in the reed shelter",
    "a desert hare runs across the hill slope",
    "a desert hare runs to the green plant",
    "a desert hare runs to the reed shelter",
    "a desert hare sits behind the hill slope",
    "a father gives a book to the mother",
    "a father gives a book to the scribe",
    "a father gives a book to the youth",
    "a father gives a conical loaf to child",
    "a father gives a conical loaf to mother",
    "a father gives a conical loaf to son",
    "a father gives a conical loaf to youth",
    "a father gives a loaf of bread now",
    "a father gives a ring to his daughter",
    "a father gives a ring to his youth",
    "a father gives a ring to the daughter",
    "a father gives a ring to the son",
    "a father gives a ring to the youth",
    "a folded cloth lies on the stone seat",
    "a god gives life to the beautiful woman",
    "a great fire burns in the reed shelter",
    "a great fire burns near the reed shelter",
    "a great snake emerges from the underground place",
    "a great storm emerges from the east sky",
    "a great storm emerges from the west sky",
    "a great storm moves across the desert hill",
    "a great storm moves across the west hill",
    "a great storm moves across the west land",
    "a great storm moves across the west mountain",
    "a great storm moves across the west sky",
    "a great storm moves over the desert hill",
    "a great storm moves over the desert land",
    "a great storm moves over the desert town",
    "a great storm moves over the mountain peak",
    "a great storm moves over the river bank",
    "a horned viper crawls near the stone brick",
    "a horned viper hides in the stone wall",
    "a horned viper moves through the green field",
    "a king finds peace upon the stone throne",
    "a king gives a ring to the scribe",
    "a king gives a thousand jars of milk",
    "a king gives power to the great city",
    "a king plays on the great senet board",
    "a king sits behind the great temple gate",
    "a king sits on the throne of power",
    "a king sits upon the seat of authority",
    "a king sits upon the seat of gold",
    "a king sits upon the seat of power",
    "a king sits upon the seat of stone",
    "a king sits upon the throne of gold",
    "a king sits upon the throne of stone",
    "a king with a club leads the people",
    "a king with authority leads the city people",
    "a king with authority sees the great sky",
    "a king with authority speaks to the god",
    "a lion animal belly is on the ground",
    "a lotus plant grows in the lake water",
    "a lotus plant grows in the river bank",
    "a lotus plant grows in the river water",
    "a lotus plant grows in the water ripple",
    "a lotus plant grows near the papyrus clump",
    "a lotus plant grows near the reed shelter",
    "a lotus plant opens in the morning light",
    "a lotus plant opens in the morning water",
    "a man binds the tethering rope to boat",
    "a man binds the tethering rope to stone",
    "a man binds the twisted flax for rope",
    "a man binds the twisted flax into rope",
    "a man cuts reed leaf beside riverbank carefully",
    "a man cuts the papyrus with a sickle",
    "a man does not fear the great storm",
    "a man finds a jar in the sand",
    "a man finds a stone in the field",
    "a man finds the three fox skins today",
    "a man finds the venerated marrow of life",
    "a man finds three fox skins in desert",
    "a man finds twisted flax near the river",
    "a man plows the field with a hoe",
    "a man plows the field with great strength",
    "a man plows with the strength of god",
    "a man sees the side rib of ox",
    "a man sees the star in the sky",
    "a man shelters beneath reed hut during desert storm",
    "a man sits upon the small stool mat",
    "a man sits upon the stool mat today",
    "a man smells the lotus in the water",
    "a man with a chisel cuts the side",
    "a man with a chisel makes the throne",
    "a man with a club protects the house",
    "a man with a club walks behind town",
    "a man with a club walks the road",
    "a man with a hoe plows the field",
    "a man with a hoe tilled the earth",
    "a man with a hoe tilled the field",
    "a man with a hoe tilled the ground",
    "a man with a sickle cuts the plant",
    "a man with an adze cuts the wood",
    "a man with an adze makes the chair",
    "a man with an adze makes the stool",
    "a man with authority finds the stone brick",
    "a man with authority leads the city people",
    "a man with authority protects the great city",
    "a man with authority protects the temple house",
    "a man with authority sees the beautiful sky",
    "a man with three fox skins finds peace",
    "a master of all things gives the power",
    "a milk jar sits on the stone brick",
    "a powerful cobra sits above the gate door",
    "a quail chick finds grain in the field",
    "a quail chick hides in the papyrus clump",
    "a quail chick hides inside the reed shelter",
    "a quail chick sits inside the reed shelter",
    "a quail chick sits near the water ripple",
    "a quail chick sits on the stone brick",
    "a reed shelter sits on the river bank",
    "a scribe binds the twisted flax for god",
    "a scribe finds the heart of the truth",
    "a scribe finds the truth in the book",
    "a scribe hears the voice of the king",
    "a scribe makes a writing about the heart",
    "a scribe makes a writing for the god",
    "a scribe marks a single stroke on papyrus",
    "a scribe marks a single stroke on stone",
    "a scribe marks a single stroke on wood",
    "a scribe marks every single stroke on stone",
    "a scribe places the jars in a rack",
    "a scribe plays a game of senet board",
    "a scribe plays senet board with the king",
    "a scribe puts the jars in a rack",
    "a scribe puts the vessel in a rack",
    "a scribe reads the book in the temple",
    "a scribe reads the book of the dead",
    "a scribe reads the book of the father",
    "a scribe reads the papyrus scroll for all",
    "a scribe sees the truth in the book",
    "a scribe sits upon the stool mat today",
    "a scribe speaks the truth to the people",
    "a scribe speaks the word of the king",
    "a scribe speaks to the seated king today",
    "a scribe speaks with the power of truth",
    "a scribe uses a chisel for the heart",
    "a scribe uses a chisel on the brick",
    "a scribe uses a chisel on the stone",
    "a scribe uses a chisel on the throne",
    "a scribe uses a chisel on the wall",
    "a scribe uses an adze for the boat",
    "a scribe uses an adze for the chair",
    "a scribe uses an adze for the wood",
    "a scribe uses an adze on the wood",
    "a scribe with a book hears the people",
    "a scribe with a papyrus scroll sees truth",
    "a scribe writes a book about the truth",
    "a scribe writes on a single stroke papyrus",
    "a scribe writes on the white papyrus scroll",
    "a scribe writes truth for the seated king",
    "a scribe writes truth on the papyrus scroll",
    "a scribe writes truth with a reed pen",
    "a servant brings a basket to the lord",
    "a servant brings a milk jar for altar",
    "a servant brings a milk jar for king",
    "a servant brings the jars in a rack",
    "a servant carries a basket with a handle",
    "a servant carries a basket to the queen",
    "a servant carries a jar of sweet milk",
    "a servant carries a jar to the master",
    "a servant carries a milk jar for altar",
    "a servant carries a milk jar for king",
    "a servant carries a milk jar to temple",
    "a servant carries grain to the city gate",
    "a servant carries grain to the city town",
    "a servant carries grain to the great lord",
    "a servant carries grain to the reed shelter",
    "a servant carries the basket with a handle",
    "a servant carries the jars in a rack",
    "a servant carries the vessel in a rack",
    "a servant gives a conical loaf of bread",
    "a servant gives a conical loaf to father",
    "a servant gives a conical loaf to mother",
    "a servant gives a jar to the goddess",
    "a servant gives a milk jar to god",
    "a servant gives grain to the quail chick",
    "a servant gives milk to the old man",
    "a servant plows the field near the river",
    "a side rib of animal sits on stone",
    "a side rib of ox is for god",
    "a snake crawls near the door bolt lock",
    "a snake crawls under the gate of stone",
    "a snake moves under the thick papyrus clump",
    "a soul becomes a bird in the afterlife",
    "a soul becomes a bird in the horizon",
    "a soul becomes a bird in the sky",
    "a soul becomes a star in the horizon",
    "a soul becomes a star in the sky",
    "a soul finds the way to the west",
    "a star becomes a god in the horizon",
    "a star becomes a god in the sky",
    "a star emerges above the dark mountain side",
    "a star emerges above the great mountain peak",
    "a star emerges above the high city gate",
    "a star emerges above the high city town",
    "a star emerges above the high desert hill",
    "a star emerges above the high mountain side",
    "a star emerges from the great night sky",
    "a star emerges from the high desert hill",
    "a star is above the great mountain peak",
    "a star is above the great mountain side",
