Input,Target,Prediction
man mat stool seated content / peace rest life / (satisfied) heart house,stool / mat seated man rest peace / content (satisfied) life house heart,stool / mat seated man rest peace / content (satisfied) life house heart
strong hoe man repeated the field road plows the with,strong man with the hoe plows repeated the field road,strong man with the hoe plows repeated the field road
a the hears truth lord of word,the lord hears a word of truth,the lord hears a word of truth
hill desert near,hill near desert,hill near desert
a truth scribe on the papyrus writes scroll,a scribe writes truth on the papyrus scroll,a scribe writes truth on the papyrus scroll
lotus sees woman plant,woman sees lotus plant,woman sees lotus plant
god to bread offer people,people offer bread to god,people offer bread to god
(lord) three / all fox cloth thing skins folded master (every),three fox skins folded cloth thing master (lord) / all (every),three fox skins folded cloth thing master (lord) / all (every)
mercy raises to hand king people granting,king raises hand granting mercy to people,king raises hand granting mercy to people
sees god the soul ba face the,the soul ba sees the face god,the soul ba sees the face god
sees father slope hill,father sees hill slope,father sees hill slope
writing on master for all papyrus scroll of scribe do,scribe do writing on papyrus scroll for master of all,scribe do writing on papyrus scroll for master of all
star side great a above the mountain is,a star is above the great mountain side,a star is above the great mountain side
youth father give life mother,father mother give life youth,father mother give life youth
plow field hoe food pellet grain,hoe plow field grain pellet food,hoe plow field grain pellet
grandfather / sees father pillar,father sees pillar / grandfather,father sees pillar / grandfather
/ mighty road retreat / mountain return above / great behind back to king,king to return / retreat behind / back mountain above great / mighty road,king to return / retreat behind / back mountain above great / mighty road
father loves beautiful mother,father loves beautiful mother,father loves beautiful mother
strong grant god power,god grant strong power,god grant strong power
man rib side / / behind mountain belly great sees animal backbone back,man sees animal belly backbone side / rib behind / back great mountain,man sees animal belly backbone side / rib behind / back great mountain
woman brings jar water,woman brings water jar,woman brings water jar
great scarab god become man heart life,scarab become life heart man great god,scarab become life heart man great god
/ / (or good gives begets horizon star birth beautiful as / youth above example) like sky mother,mother gives birth / begets youth like / as (or example) beautiful / good star above sky horizon,mother gives birth / begets youth like / as (or example) beautiful / good star above sky horizon
field grows plant,field grows plant,plant grows field
authority / hear gate servant man listen / (or as good example) / like beautiful,servant hear / listen authority like / as (or example) beautiful / good man gate,servant hear / listen authority like / as (or example) beautiful / good man gate
return soul / retreat great to underground to (ba) west star sky become power life,soul (ba) to return / retreat west underground star sky life to become power great,soul (ba) to return / retreat west underground star sky life to become power great
mother sees book,mother sees book,mother sees book
offering god enters gate altar temple peace opens,temple gate opens god enters peace altar offering,temple gate opens god enters peace altar offering
become youth man,youth become man,youth become man
loaf (give) god offering conical life people,conical loaf (give) offering god people life,conical loaf (give) offering people life god
prayer hear people god,god hear people prayer,god hear people prayer
water ripple plant sky riverbank swallow lotus lake,riverbank lotus plant swallow sky water ripple lake,riverbank lotus plant swallow sky water ripple lake
city the stone the gate made is to,the gate to the city is made stone,the gate to the city is made stone
skins power force fox authority strength king three /,three fox skins strength / force power authority king,three fox skins strength / force power authority king
leads life trade people road town town city /,road leads town city / town people trade life,road leads town city / town people trade life
plant field clump king papyrus lotus riverbank sedge plant,sedge king papyrus clump plant lotus plant field riverbank,sedge king papyrus clump plant lotus plant field riverbank
follow road leader journey people,people follow leader road journey,people follow leader road journey
light sky emerge god star horizon life,horizon sky star light god emerge life,horizon sky star light god emerge life
scribe scroll scribe writing papyrus hand /,scribe writing / scribe papyrus scroll hand,scribe writing / scribe papyrus scroll hand
