Scattered Input,Ground Truth,Reconstructed,CosSim
gives god life great,great god gives life,great god gives life,0.9999999403953552
bolt door man opens,man opens door bolt,man opens door bolt,1.0000001192092896
gives ankh life father,father gives life ankh,father gives life ankh,1.0
god sees people,god sees people,god sees people,1.0000001192092896
loves child life woman,woman loves child life,woman loves child life,1.000000238418579
town city king rules,king rules city town,king rules city town,1.0000001192092896
strong people protects god,strong god protects people,strong god protects people,1.0
man loaf bread eats,man eats loaf bread,man eats loaf bread,1.0
sweet hears words woman,woman hears sweet words,woman hears sweet words,1.0000001192092896
king god gives power,god gives power king,god gives power king,1.000000238418579
truth heart maat loves,heart loves truth maat,heart loves truth maat,1.0000001192092896
horizon sky opens god,god opens horizon sky,god opens horizon sky,1.0
people river live near,people live near river,people live near river,1.0
field plows fertile man,man plows fertile field,man plows fertile field,1.0000001192092896
great temple builds king,king builds great temple,great king builds temple,0.9861595034599304
god brings satisfied peace,god brings peace satisfied,god brings peace satisfied,1.000000238418579
life mother birth gives,mother gives birth life,mother gives birth life,1.0
walks town road man,man walks road town,man walks road town,0.9999999403953552
controls sky god storm,god controls storm sky,god controls storm sky,1.0000001192092896
god great fear people,people fear great god,people fear great god,1.0
man enters house gate,man enters house gate,man enters house gate,1.000000238418579
god prayers people hears,god hears prayers people,god hears prayers people,1.0
king power throne sits,king sits throne power,king sits throne power,1.0000001192092896
gives life water god,god gives water life,god gives life water,0.9654526114463806
river bank people cross,people cross river bank,people cross river bank,0.9999999403953552
basket man carries handle,man carries basket handle,man carries basket handle,1.0
drinks jar woman milk,woman drinks milk jar,woman drinks milk jar,1.0
life eternal lives god,god lives eternal life,god lives eternal life,1.0000001192092896
sees sky man star,man sees star sky,man sees star sky,0.9999999403953552
god offer people bread,people offer bread god,people offer bread god,1.0
god brings stability djed,god brings stability djed,god brings stability djed,1.0
crook king power holds,king holds crook power,king holds crook power,1.0000001192092896
man night owl hears,man hears owl night,man hears owl night,1.0000001192092896
people live desert hill,people live desert hill,people live desert hill,1.0000001192092896
emerges horizon god from,god emerges from horizon,god emerges from horizon,0.9999999403953552
returns home man house,man returns home house,man returns home house,1.0000001192092896
judges heart truth god,god judges heart truth,god judges heart truth,1.0000001192092896
praise people mighty god,people praise mighty god,people praise mighty god,0.9999999403953552
king city protects people,king protects city people,king protects city people,0.9999999403953552
fears man bite snake,man fears snake bite,man fears snake bite,1.0000001192092896
force gives strength god,god gives strength force,god gives strength force,0.9999998807907104
temple gather people near,people gather near temple,people gather near temple,1.0000001192092896
papyrus writes man scroll,man writes papyrus scroll,man writes papyrus scroll,1.0
rebirth becomes scarab god,god becomes scarab rebirth,god becomes scarab rebirth,1.0
altar people peace love,people love peace altar,people love peace altar,1.0000001192092896
rules king people land,king rules land people,king rules land people,1.0
water man ripple drinks,man drinks water ripple,man drinks water ripple,1.0
horizon watches west god,god watches west horizon,god watches west horizon,0.9999999403953552
god rules great sky,great god rules sky,great god rules sky,1.0000001192092896
voice man hears god,man hears god voice,god hears voice man,0.899342954158783
walks behind house woman,woman walks behind house,woman walks behind house,1.0000001192092896
god gives offering king,king gives offering god,king gives offering god,1.0000001192092896
live lake near people,people live near lake,people live near lake,1.0
god land mountain creates,god creates mountain land,god creates mountain land,1.0000001192092896
man cobra snake sees,man sees cobra snake,man sees cobra snake,1.0
milk woman jar opens,woman opens jar milk,woman opens jar milk,1.0000001192092896
god throne grants power,god grants power throne,god grants power throne,1.0
people cross desert hill,people cross desert hill,people cross desert hill,1.0000001192092896
carries coil rope man,man carries coil rope,man carries coil rope,1.0000001192092896
city gate guards god,god guards city gate,god guards city gate,1.0
prayers king people hears,king hears people prayers,king hears people prayers,1.0
eats conical loaf man,man eats conical loaf,man eats conical loaf,1.0000001192092896
life beautiful woman loves,woman loves beautiful life,beautiful woman loves life,0.947826623916626
watches people god riverbank,god watches riverbank people,god watches riverbank people,1.0
people gather sky under,people gather under sky,people gather under sky,1.0000001192092896
stone man chisel holds,man holds chisel stone,man holds chisel stone,1.0000001192092896
storm commands god power,god commands storm power,god commands storm power,1.0000001192092896
sits seat king throne,king sits seat throne,king sits seat throne,0.9999999403953552
viper fear horned people,people fear horned viper,people fear horned viper,1.000000238418579
man brick builds house,man builds house brick,man builds house brick,1.0
gives god heart peace,god gives heart peace,god gives heart peace,1.0
water brings jar woman,woman brings water jar,woman brings water jar,1.000000238418579
travel west people road,people travel road west,people travel road west,1.0000001192092896
horizon light man sees,man sees horizon light,man sees horizon light,1.0
