Input,Target,Prediction
/ gives begets animal life youth belly (ankh) birth,animal belly gives birth / begets youth life (ankh),animal belly gives birth / begets youth life (ankh)
heart (ba) (spirit) ka (ankh) / soul life god deity,ka (spirit) soul (ba) heart life (ankh) god / deity,god / deity ka (spirit) soul (ba) heart life (ankh)
man cuts tethering rope,man cuts rope tethering,man cuts rope tethering
/ loaf king servant / he power great mighty conical (give),he / king conical loaf (give) power great / mighty servant,he / king conical loaf (give) power great / mighty servant
star (spirit) ka soul emerge sky horizon (ba),soul (ba) ka (spirit) emerge horizon sky star,soul (ba) ka (spirit) emerge horizon sky star
field (tills) great / mighty plows sickle,sickle plows (tills) great / mighty field,sickle plows (tills) great / mighty field
woman face walks upon,woman walks face upon,woman walks face upon
mountain shapes god stone,god shapes stone mountain,god shapes stone mountain
power god force strength grants,god grants power strength force,god grants power strength force
bird sees head owl emerge of snake,head of bird owl sees snake emerge,head of bird owl sees snake emerge
renews life god cycle,god renews life cycle,god renews life cycle
(plural single marker) stroke stroke thing,single stroke stroke (plural marker) thing,single stroke stroke (plural marker) thing
horizon every great eye big / lord sees fire /,lord / every eye sees great / big fire horizon,lord / every eye sees great / big fire horizon
binds knot man rope,man binds rope knot,man binds rope knot
foot across riverbank steps,foot steps across riverbank,foot steps across riverbank
god birth youth gives great,great god gives birth youth,great god gives birth youth
gives birth youth father life / begets mother (ankh) heart,father mother gives birth / begets youth life (ankh) heart,father mother gives birth / begets youth life (ankh) heart
good swallow sky beautiful horizon / emerge (great),swallow (great) emerge horizon sky beautiful / good,swallow (great) emerge horizon sky beautiful / good
light horizon sees man,man sees horizon light,man sees horizon light
woman bread altar offers,woman offers bread altar,woman offers bread altar
people protects god town city,god protects city town people,god protects city town people
make to great thing mighty strong do forearm hand / /,forearm strong hand to do / make thing great / mighty,forearm strong hand to do / make thing great / mighty
sits king throne seated,king sits seated throne,king sits seated throne
god becomes rebirth scarab,god becomes scarab rebirth,god becomes scarab rebirth
heart mountain west peace sky / satisfy horizon,west mountain horizon sky peace / satisfy heart,west mountain horizon sky beautiful / good
great town house city / / pillar (djed) stability grandfather,stability (djed) pillar / grandfather house city / town great,stability (djed) pillar / grandfather house city / town great
seat mighty / / great stone become beautiful throne / good throne,great / mighty stone become beautiful / good throne seat / throne,great / mighty stone become beautiful / good throne seat / throne
sees man night owl,man sees owl night,man sees owl night
throne symbolizes seat power royal,seat throne symbolizes royal power,seat throne symbolizes royal power
gives ankh father life,father gives life ankh,father gives life ankh
sedge crown king wears,king wears sedge crown,king wears sedge crown
walks king road city,king walks road city,king walks road city
weighs truth maat feather heart,feather maat weighs heart truth,feather maat weighs heart truth
sees upon face woman beauty,woman sees beauty face upon,woman sees beauty face upon
woman before god kneels,woman kneels before god,woman kneels before god
clump plants papyrus man,man plants papyrus clump,man plants papyrus clump
peace offering altar consumes fire,fire consumes offering altar peace,fire consumes offering altar peace
mother milk child feeds jar,mother feeds child milk jar,mother feeds child milk jar
water woman vessel pours,woman pours water vessel,woman pours water vessel
/ soul offering god (ba) thousand altar deity peace /,thousand offering peace / altar god / deity soul (ba),thousand offering peace / altar god / deity soul (ba)
stone / do strong to forearm hand brick make,forearm strong hand to do / make stone brick,forearm strong hand to do / make stone brick
/ slope brick hill town face city brick (upon) / on house,face / on (upon) hill slope brick house brick city / town,face / on (upon) hill slope brick house brick city / town
man sees heart god of,god sees heart of man,god sees heart of man
reed book hand writing papyrus scribe leaf / scroll,reed leaf writing / scribe papyrus scroll book hand,reed leaf writing / scribe papyrus scroll book hand
/ big lord king love lord every servant he / / great,lord / every servant love great / big he / king lord,lord / every servant love great / big he / king lord
book hand stroke / papyrus scribe scroll writing single,writing / scribe papyrus scroll book hand single stroke,writing / scribe papyrus scroll book hand single stroke
foot town riverbank city gate road / town,foot road town city / town gate riverbank,foot road town city / town gate riverbank
cloth folded three skins thing fox,three fox skins folded cloth thing,three fox skins folded cloth thing
renews god cycle time,god renews time cycle,god renews time cycle
city protects town god,god protects city town,god protects city town
horizon sky god opens,god opens horizon sky,god opens horizon sky
good throne mighty become seat / / stone throne beautiful great /,great / mighty stone become beautiful / good throne seat / throne,great / mighty stone become beautiful / good throne seat / throne
man walks west toward,man walks toward west,man walks toward west
master thing three folded (lord) all fox skins (every) cloth /,three fox skins folded cloth thing master (lord) / all (every),three fox skins folded cloth thing great / mighty
basket man carries handle,man carries basket handle,man carries basket handle
sees man god heart,god sees heart man,god sees heart man
man (truth/maat) / hear listen old feather,old man hear / listen feather (truth/maat),old man hear / listen feather (truth/maat)
sky hill above mountain horizon desert star,horizon star sky above desert hill mountain,sky horizon star above mountain desert hill
found) is exists (or / opens / town town city road gate,opens / exists (or is found) gate road town city / town,opens / exists (or is found) gate road city / town town
plows strong great / field big grain (tills) pellet / man,strong man plows (tills) great / big field grain / pellet,strong man plows (tills) great / big field grain / pellet
town stone brick strong hand cut / city,strong hand cut stone brick city / town,strong hand cut stone brick city / town
sees fire man horizon,man sees fire horizon,man sees fire horizon
fear underground dark people,people fear dark underground,people fear dark underground
jar / jar peace deity satisfy god / milk vessel,vessel jar milk jar peace / satisfy god / deity,vessel jar milk jar peace / satisfy god / deity
/ in peace rack jar jar milk vessel altar jars,jar vessel jars in rack milk jar peace / altar,jar vessel jars in rack milk jar peace / altar
coil rope ripple water riverbank of rope lake tethering,coil of rope tethering rope riverbank lake water ripple,coil of rope tethering rope riverbank lake water ripple
vessel jar / mouth loaf drink speak / eat bread,mouth eat / drink / speak bread loaf vessel jar,mouth eat / drink / speak bread loaf vessel jar
words speaks power king,king speaks words power,king speaks words power
man walks west toward,man walks toward west,man walks toward west
love plant heart good lotus / beautiful,heart love beautiful / good lotus plant,heart love beautiful / good lotus plant
road city brick house hoe / plows town (repeated),hoe plows (repeated) road city / town house brick,hoe plows (repeated) road city / town house brick
city king town rules,king rules town city,king rules town city
(ankh) begets mother good life / birth gives / beautiful youth,mother gives birth / begets beautiful / good youth life (ankh),mother gives birth / begets beautiful / good youth life (ankh)
(ankh) / life mother gives father youth birth begets heart,father mother gives birth / begets youth life (ankh) heart,father mother gives birth / begets youth life (ankh) heart
king gives god offering,king gives offering god,king gives bread offering god
every king great people love,every people love great king,every people love great king
love lotus sweet plant woman life (ankh) seated,seated woman love lotus plant sweet life (ankh),seated woman love lotus plant sweet life (ankh)
good beautiful (ankh) life plant sweet heart lotus /,lotus plant sweet beautiful / good life (ankh) heart,lotus plant sweet beautiful / good life (ankh) heart
/ bread jar thousand offering altar peace milk,thousand offering peace / altar bread milk jar,thousand offering peace / altar bread milk jar
west from emerges underground god,god emerges from underground west,god emerges from underground west
old / (ba) soul (spirit) man ka marrow venerated father,old man venerated / marrow father soul (ba) ka (spirit),old man venerated / marrow father soul (ba) ka (spirit)
people hill beyond desert travel,people travel beyond desert hill,people travel beyond desert hill
hoe grain head / ox of pellet field strong,head of ox grain / pellet field hoe strong,head of ox grain / pellet field hoe strong
people by gather riverbank,people gather by riverbank,people gather by riverbank
stone heavy man lifts,man lifts heavy stone,man lifts heavy stone
ripple hears man sound water,man hears sound water ripple,man hears sound water ripple
leads horizon road west,road leads west horizon,road leads people west
star sky chick head horizon of bird quail,quail chick head of bird sky star horizon,quail chick head of bird horizon sky star
adze brick town / city house stone,adze stone brick house city / town,adze stone brick house city / town
woman milk jar opens,woman opens jar milk,woman opens jar milk
shelter river papyrus lake reed clump,reed shelter papyrus clump lake river,reed shelter lake papyrus clump river
man beautiful old becomes youth,beautiful youth becomes old man,beautiful youth becomes old man
great slope sky mighty storm fire hill mountain /,great / mighty storm fire sky mountain hill slope,great / mighty storm fire sky mountain hill slope
seated head woman sees bird owl / beautiful of good,owl head of bird sees seated woman beautiful / good,owl head of bird sees seated woman beautiful / good
pillar grandfather power (djed) authority stability /,stability (djed) pillar / grandfather power authority,stability (djed) pillar / grandfather power authority
house upon brick / slope face hill,face / upon hill slope brick house,face / upon hill slope brick house
guards life woman child,woman guards child life,woman guards child life
/ youth / listen master speak / big hear (lord) / / great all drink (every) eat,youth hear / listen great / big master (lord) / all (every) eat / drink / speak,youth hear / listen great / big master (lord) / all (every) eat / drink / speak
woman walks bank beside river,woman walks beside river bank,woman walks beside river bank
man forearm strength grips,man grips forearm strength,man grips forearm strength
owl night sees man,man sees owl night,man sees owl night
town back lotus / behind chick house / city quail plant,quail chick behind / back lotus plant house city / town,quail chick behind / back lotus plant house city / town
venerated father heart man marrow / old (ba) soul,old man venerated / marrow father heart soul (ba),old man venerated / marrow father heart soul (ba)
seated plant woman love lotus peace,seated woman love lotus plant peace,seated woman love lotus plant peace
speak / eat drink loaf / mouth bread,mouth eat / drink / speak bread loaf,mouth eat / drink / speak bread loaf
god life great gives,great god gives life,great god gives life
good basket thing / (ankh) / life all) beautiful (lord heart,basket (lord / all) thing beautiful / good life (ankh) heart,basket (lord / all) thing beautiful / good life (ankh) heart
jars stone rack vessel ring great in,ring stone vessel jars in rack great,ring stone vessel jars in rack great
three cloth beautiful skins folded fox good / thing servant,three fox skins folded cloth thing beautiful / good servant,three fox skins folded cloth thing beautiful / good servant
above slope mountain sky desert hill field,sky above mountain desert hill slope field,sky above mountain desert hill slope field
deity god praise people,people praise god deity,people praise god deity
all) life / (ankh) animal upon (lord / basket belly face god,basket (lord / all) face / upon animal belly life (ankh) god,basket (lord / all) face / upon animal belly life (ankh) god
power king strength / authority he force / people,strength / force power authority he / king people,strength / force power authority he / king people
strong to hand brick forearm make / do stone,forearm strong hand to do / make stone brick,forearm strong hand to do / make stone brick
/ father peace / marrow venerated satisfy heart life mother,venerated / marrow father mother heart peace / satisfy life,venerated / marrow father mother heart peace / satisfy life
gives god life great,great god gives life,great god gives life
gate opens god hidden,god opens hidden gate,god opens hidden gate
people royal listen decree,people listen royal decree,people listen royal decree
emerge underground lake water ripple snake horizon,underground lake water ripple snake emerge horizon,underground lake water ripple snake emerge horizon
land plows field man,man plows land field,man plows land field
life child loves woman,woman loves child life,woman loves child life
follow west people road,people follow road west,people follow road west
make house brick servant to do /,servant to do / make brick house,servant to do / make brick house
book papyrus hand single scribe scroll stroke writing /,papyrus scroll book writing / scribe hand single stroke,writing / scribe papyrus scroll book hand single stroke
power holds king authority,king holds power authority,king holds power authority
/ / house town pillar grandfather (djed) stability city stone,stability (djed) pillar / grandfather house city / town stone,stability (djed) pillar / grandfather house city / town stone
god sky controls storm,god controls storm sky,god controls storm sky
plows hoe (repeated) town road city /,hoe plows (repeated) road city / town,hoe plows (repeated) road city / town
old feather listen man (truth/maat) / hear,old man hear / listen feather (truth/maat),old man hear / listen feather (truth/maat)
god strong strength grants,god grants strength strong,god grants strength strong
make hand to do / great / / thing good beautiful mighty,hand to do / make thing beautiful / good great / mighty,hand to do / make thing beautiful / good great / mighty
people river water cross,people cross river water,people cross river water
road people cross winding,people cross winding road,people cross winding road
mighty people sedge authority / (king) / great king he,sedge (king) he / king great / mighty authority people,sedge (king) he / king great / mighty authority people
god kneels woman before,woman kneels before god,woman kneels before god
land rules king every,king rules every land,king rules every land
town stone brick chisel / cut city adze,adze chisel cut stone brick city / town,adze chick cut stone brick city / town
jar ripple water man carries,man carries jar water ripple,man carries jar water ripple
/ road rope rope city coil tethering town riverbank of,coil of rope tethering rope riverbank road city / town,coil of rope tethering rope riverbank road city / town
woman kneels god before,woman kneels before god,woman kneels before god
man seated mat / board senet stool,senet board stool / mat seated man,senet board stool / mat seated man
/ house board mat seated man senet stool,senet board stool / mat seated man house,senet board stool / mat seated man house
live protection people under,people live under protection,people live under protection
birth gives great god youth,great god gives birth youth,great god gives birth youth
love plant lotus seated woman peace,seated woman love lotus plant peace,seated woman love lotus plant peace
speaks words mouth authority power,mouth speaks words power authority,mouth speaks words power authority
land creates mountain god,god creates mountain land,god creates mountain land
altar consumes fire offering peace,fire consumes offering altar peace,fire consumes offering altar peace
loves lotus beautiful plant woman,beautiful woman loves lotus plant,beautiful woman loves lotus plant
god man voice hears,man hears god voice,man hears voice god
king rules town city,king rules town city,king rules town city
