Input,Target,Prediction
grant power god great,god grant great power,god grant great power
hill road people walk,people walk hill road,people walk hill road
house build brick people,people build brick house,people build brick house
stone cuts chisel brick,stone chisel cuts brick,stone chisel cuts brick
brick temple people build,people build brick temple,people build brick temple
mother youth guide life,mother guide youth life,mother guide youth life
youth life mother hold,mother hold youth life,mother hold youth life
city honor god people,people honor god city,people honor god city
give mother love father,father give mother love,father give mother love
slope climb rocky youth,youth climb rocky slope,youth climb rocky slope
feel strong man power,man feel strong power,man feel strong power
praise city people god,people praise god city,people praise god city
finds water animal belly,animal belly finds water,animal belly finds water
bring altar lotus woman,woman bring lotus altar,woman bring lotus altar
adze finds scribe stone,scribe finds stone adze,scribe finds stone adze
god life grant people,god grant people life,god grant people life
grant god soul peace,god grant soul peace,god grant soul peace
shore lake people cross,people cross lake shore,people cross lake shore
man feel strong heart,man feel strong heart,man feel strong heart
youth door bolt sees,youth sees door bolt,youth sees door bolt
guard riverbank town servant,servant guard riverbank town,servant guard riverbank town
horizon see woman lake,woman see lake horizon,woman see lake horizon
cross people town road,people cross town road,people cross town road
power god people give,god give people power,god give people power
servant temple guard throne,servant guard temple throne,servant guard temple throne
jar milk woman finds,woman finds milk jar,woman finds milk jar
servant throne seat guard,servant guard throne seat,servant guard throne seat
makes shelter father reed,father makes reed shelter,father makes reed shelter
becomes strong gate temple,temple gate becomes strong,temple gate becomes strong
loaf man bring bread,man bring bread loaf,man bring bread loaf
sweet bread servant bring,servant bring sweet bread,servant bring sweet bread
people road walk mountain,people walk mountain road,people walk mountain road
speak hears youth god,youth hears god speak,youth hears god speak
carry vessel woman water,woman carry vessel water,woman carry vessel water
guard town city servant,servant guard city town,servant guard city town
guide father youth road,father guide youth road,father guide youth road
house guard temple servant,servant guard house temple,servant guard house temple
servant man seated seat,servant seat seated man,servant seat seated man
see bird man head,man see head bird,man see head bird
people hill cross desert,people cross desert hill,people cross desert hill
sees desert hare man,man sees desert hare,man sees desert hare
great hears man god,man hears great god,man hears great god
owl chick sees quail,owl sees quail chick,owl sees quail chick
servant milk bring offering,servant bring milk offering,servant bring milk offering
storm fear man sky,man fear storm sky,man fear storm sky
ba finds soul life,soul ba finds life,soul ba finds life
field bless god grain,god bless grain field,god bless grain field
carry man stone vessel,man carry stone vessel,man carry stone vessel
wind hear woman desert,woman hear desert wind,woman hear desert wind
guide heart mother youth,mother guide youth heart,mother guide youth heart
authority king hears scribe,scribe hears king authority,scribe hears king authority
basket handle gives king,king gives basket handle,king gives basket handle
hill god watch sky,god watch hill sky,god watch hill sky
woman sweet offering makes,woman makes sweet offering,woman makes sweet offering
heart god sees beautiful,god sees beautiful heart,god sees beautiful heart
god power give strong,god give strong power,god give strong power
servant sees mountain great,servant sees great mountain,servant sees great mountain
desert sees hare hill,desert hare sees hill,desert hare sees hill
climb youth stone mountain,youth climb mountain stone,youth climb stone mountain
town watch god desert,god watch desert town,god watch desert town
lake protect town god,god protect lake town,god protect lake town
people soul grant god,god grant soul people,god grant soul people
man see hill cobra,man see cobra hill,man see cobra hill
vessel carry rope man,man carry rope vessel,man carry rope vessel
riverbank guard gate servant,servant guard riverbank gate,servant guard riverbank gate
door youth bolt sees,youth sees door bolt,youth sees door bolt
servant mat reed clean,servant clean reed mat,servant clean reed mat
love heart mother youth,mother love youth heart,mother love youth heart
ripple man lake drink,man drink lake ripple,man drink lake ripple
build city people town,people build city town,people build city town
scribe finds stone chisel,scribe finds stone chisel,scribe finds stone chisel
king seat throne servant,servant seat throne king,servant seat throne king
youth father peace teach,father teach youth peace,father teach youth peace
old hears youth man,youth hears old man,youth hears old man
sky city god protect,god protect sky city,god protect sky city
hill god desert watch,god watch desert hill,god watch desert hill
sickle plant man cuts,man cuts plant sickle,man cuts plant sickle
youth rocky hill climb,youth climb rocky hill,youth climb rocky hill
seek life strong youth,youth seek strong life,youth seek strong life
sees king horizon beautiful,king sees beautiful horizon,king sees beautiful horizon
plows man field strong,strong man plows field,strong man plows field
king sees throne seat,king sees seat throne,king sees seat throne
god praise people temple,people praise temple god,people praise god temple
great man stone finds,man finds great stone,man finds great stone
father loves mother beautiful,father loves beautiful mother,father loves beautiful mother
finds ring stone youth,youth finds stone ring,youth finds stone ring
sweet servant bread bring,servant bring sweet bread,servant bring sweet bread
guard riverbank gate servant,servant guard riverbank gate,servant guard riverbank gate
man carry rope tethering,man carry tethering rope,man carry tethering rope
cross people river lake,people cross lake river,people cross lake river
sees servant great temple,servant sees great temple,servant sees great temple
woman ka life see,woman see ka life,woman see ka life
bring sweet bread servant,servant bring sweet bread,servant bring sweet bread
youth give mother strength,mother give youth strength,mother give youth strength
rule god seat throne,god rule throne seat,god rule throne seat
backbone gives great power,backbone gives great power,backbone gives great power
woman altar lotus bring,woman bring lotus altar,woman bring lotus altar
cobra hill see man,man see cobra hill,man see cobra hill
hill youth sees desert,youth sees desert hill,youth sees desert hill
book makes beautiful scribe,scribe makes beautiful book,scribe makes beautiful book
servant vessel fill water,servant fill water vessel,servant fill vessel water
feel youth strong soul,youth feel strong soul,youth feel strong soul
life people watch god,god watch people life,god watch people life
king seated servant guard,servant guard seated king,servant guard seated king
lift man stone brick,man lift brick stone,man lift stone brick
people hill cross slope,people cross hill slope,people cross hill slope
walk people road hill,people walk hill road,people walk hill road
carry jar grain man,man carry grain jar,man carry grain jar
heart fear finds great,heart finds great fear,heart finds great fear
cobra belly finds animal,cobra finds animal belly,cobra finds animal belly
river lake people cross,people cross lake river,people cross lake river
sees city king town,king sees city town,king sees city town
sky god rule earth,god rule sky earth,god rule sky earth
great servant sees temple,servant sees great temple,servant sees great temple
feel strong man spirit,man feel strong spirit,man feel strong spirit
find great people thing,people find great thing,people find great thing
rule god star sky,god rule sky star,god rule sky star
makes shelter servant reed,servant makes reed shelter,servant makes reed shelter
youth strong heart feel,youth feel strong heart,youth feel strong heart
adze finds scribe stone,scribe finds stone adze,scribe finds stone adze
cross road desert people,people cross desert road,people cross desert road
walk road mountain man,man walk mountain road,man walk mountain road
feather maat see woman,woman see feather maat,woman see feather maat
makes twisted scribe flax,scribe makes twisted flax,scribe makes twisted flax
offering servant temple bring,servant bring offering temple,servant bring offering temple
temple town people build,people build town temple,people build town temple
desert follow road man,man follow desert road,man follow desert road
king people sedge sees,sedge king sees people,sedge king sees people
mouth truth speaks sweet,mouth speaks sweet truth,mouth speaks sweet truth
bread gives offering servant,servant gives bread offering,servant gives bread offering
ka people honor spirit,people honor ka spirit,people honor ka spirit
protect town lake god,god protect lake town,god protect lake town
protect town mountain god,god protect mountain town,god protect mountain town
people lotus altar gather,people gather lotus altar,people gather lotus altar
throne makes king stone,king makes stone throne,king makes stone throne
temple people gate open,people open temple gate,people open temple gate
gives great master power,master gives great power,master gives great power
vessel gives stone man,man gives stone vessel,man gives stone vessel
man brick lift backbone,man lift brick backbone,man lift brick backbone
man field grain cut,man cut grain field,man cut grain field
carry water man vessel,man carry vessel water,man carry vessel water
sees plant lotus youth,youth sees lotus plant,youth sees lotus plant
road woman riverbank sees,woman sees riverbank road,woman sees riverbank road
mother give father love,father give mother love,father give mother love
great soul altar finds,soul finds great altar,soul finds great altar
twisted flax carry woman,woman carry twisted flax,woman carry twisted flax
truth beautiful speaks mouth,mouth speaks beautiful truth,mouth speaks beautiful truth
voice hear god servant,god hear servant voice,god hear servant voice
life people grant god,god grant people life,god grant people life
reed youth sees shelter,youth sees reed shelter,youth sees reed shelter
temple open servant gate,servant open temple gate,servant open temple gate
reed servant shelter open,servant open reed shelter,servant open reed shelter
god life bless soul,god bless soul life,god bless soul life
tethering carry rope man,man carry tethering rope,man carry tethering rope
desert see snake man,man see snake desert,man see snake desert
opens gate king great,king opens great gate,king opens great gate
beautiful horizon god sees,god sees beautiful horizon,god sees beautiful horizon
gives mother loaf conical,mother gives conical loaf,mother gives conical loaf
flax follow man twisted,man follow twisted flax,man follow twisted flax
stability god gives djed,god gives stability djed,god gives stability djed
speak hears scribe master,scribe hears master speak,master hears scribe speak
man youth hears old,youth hears old man,youth hears old man
see owl woman night,woman see owl night,woman see owl night
cuts club brick strong,strong club cuts brick,strong club cuts brick
reed field woman plant,woman plant reed field,woman plant reed field
