Input,Target,Prediction
hand makes tethering rope,hand makes tethering rope,hand makes tethering rope
pillar stability god gives,god gives stability pillar,god gives stability pillar
truth heart god loves,god loves heart truth,god loves heart truth
strength hold youth mother,mother hold youth strength,mother hold youth strength
lake protect god town,god protect lake town,god protect lake town
mountain climb youth desert,youth climb desert mountain,youth climb desert mountain
sky man see owl,man see owl sky,man see owl sky
finds heart life sweet,heart finds sweet life,heart finds sweet life
carry man water jar,man carry jar water,man carry jar water
people walk path desert,people walk desert path,people walk desert path
mother soul youth hold,mother hold youth soul,mother hold youth soul
carry vessel woman milk,woman carry milk vessel,woman carry milk vessel
man loaf bring bread,man bring bread loaf,man bring bread loaf
life youth give mother,mother give youth life,mother give youth life
feel soul woman sweet,woman feel sweet soul,woman feel sweet soul
carry handle woman basket,woman carry basket handle,woman carry basket handle
river man drink water,man drink water river,man drink river water
king servant hears speak,servant hears king speak,servant hears king speak
gives servant offering bread,servant gives bread offering,servant gives bread offering
strong plows field man,strong man plows field,strong man plows field
father youth teach power,father teach youth power,father teach youth power
rule god horizon sky,god rule horizon sky,god rule horizon sky
riverbank scribe great sees,scribe sees great riverbank,scribe sees great riverbank
grant god life great,god grant great life,god grant great life
cross rope people lake,people cross lake rope,people cross lake rope
desert god horizon see,god see desert horizon,god see desert horizon
grant god heart life,god grant heart life,god grant heart life
grain field god bless,god bless grain field,god bless field grain
ripple drink man water,man drink water ripple,man drink water ripple
man feel power heart,man feel heart power,man feel heart power
becomes great thing fire,fire becomes great thing,fire becomes great thing
hold woman life heart,woman hold heart life,woman hold heart life
great king house makes,king makes great house,king makes great house
rule sky earth god,god rule sky earth,god rule sky earth
mountain finds youth great,youth finds great mountain,youth finds great mountain
life mother youth guide,mother guide youth life,mother guide youth life
god grant people peace,god grant people peace,god grant people peace
sky god horizon rule,god rule horizon sky,god rule horizon sky
shelter servant reed makes,servant makes reed shelter,servant makes reed shelter
soul woman sweet feel,woman feel sweet soul,woman feel sweet soul
strength lift man stone,man lift stone strength,man lift stone strength
jar woman gives milk,woman gives milk jar,woman gives milk jar
desert hill youth climb,youth climb desert hill,youth climb desert hill
sweet offering woman makes,woman makes sweet offering,woman makes sweet offering
youth life heart seek,youth seek heart life,youth seek heart life
club strong plant cuts,strong club cuts plant,strong club cuts plant
mountain youth stone climb,youth climb mountain stone,youth climb mountain stone
rule god mountain sky,god rule mountain sky,god rule mountain sky
mother give youth heart,mother give youth heart,mother give youth heart
king horizon sees star,king sees horizon star,king sees horizon star
temple town people build,people build town temple,people build town temple
servant guard house gate,servant guard house gate,servant guard house gate
field god watch lotus,god watch lotus field,god watch lotus field
hears servant authority master,servant hears master authority,servant hears master authority
strong man feel power,man feel strong power,man feel strong power
mother bird head sees,mother sees bird head,mother sees bird head
mighty hears storm king,king hears mighty storm,king hears mighty storm
road youth father hold,father hold youth road,father hold youth road
soul mother youth hold,mother hold youth soul,mother hold youth soul
seated man woman loves,woman loves seated man,woman loves seated man
father youth wisdom teach,father teach youth wisdom,father teach youth wisdom
walk mountain people path,people walk mountain path,people walk mountain path
man owl star see,man see owl star,man see owl star
cuts sickle man plant,man cuts plant sickle,man cuts plant sickle
youth hill stone climb,youth climb hill stone,youth climb stone hill
teach youth peace father,father teach youth peace,father teach youth peace
protect god town mountain,god protect mountain town,god protect mountain town
servant field plows hill,servant plows hill field,servant plows hill field
lotus plant garden woman,woman plant lotus garden,woman plant lotus garden
mat house servant clean,servant clean house mat,servant clean house mat
peace finds heart great,heart finds great peace,heart finds great peace
hear storm horizon woman,woman hear storm horizon,woman hear storm horizon
sees scribe skins three,scribe sees three skins,scribe sees three skins
mighty fire people fear,people fear mighty fire,people fear mighty fire
god ankh life grant,god grant life ankh,god grant life ankh
gives life god power,god gives life power,god gives life power
god river see horizon,god see river horizon,god see river horizon
scroll finds scribe papyrus,scribe finds papyrus scroll,scribe finds papyrus scroll
peace bring servant offering,servant bring peace offering,servant bring peace offering
life woman see ka,woman see ka life,woman see ka life
storm wind hear woman,woman hear wind storm,woman hear wind storm
ripple emerges water cobra,cobra emerges water ripple,cobra emerges water ripple
finds star horizon king,king finds horizon star,king finds horizon star
great hill climb youth,youth climb great hill,youth climb great hill
gate people open town,people open town gate,people open town gate
temple gate protect god,god protect temple gate,god protect temple gate
youth sees door bolt,youth sees door bolt,youth sees door bolt
man town road follow,man follow town road,man follow town road
father honor people mother,people honor mother father,people honor mother father
fire feel soul man,man feel fire soul,man feel fire soul
makes book great scribe,scribe makes great book,scribe makes great book
road riverbank walk woman,woman walk riverbank road,woman walk riverbank road
cobra emerges water ripple,cobra emerges water ripple,cobra emerges water ripple
scroll gather people papyrus,people gather papyrus scroll,people gather papyrus scroll
god throne honor people,people honor throne god,people honor god throne
finds ba soul life,soul ba finds life,soul ba finds life
servant makes twisted flax,servant makes twisted flax,servant makes twisted flax
people river lake cross,people cross lake river,people cross lake river
stone climb hill man,man climb hill stone,man climb hill stone
river god horizon see,god see river horizon,god see river horizon
life mother strong give,mother give strong life,mother give strong life
love youth guide father,father guide youth love,father guide youth love
plant woman shelter reed,woman plant reed shelter,woman plant reed shelter
finds mountain old man,old man finds mountain,old man finds mountain
hand hold mother youth,mother hold youth hand,mother hold youth hand
great god soul becomes,soul becomes great god,soul becomes great god
strong feel heart man,man feel strong heart,man feel strong heart
king makes city great,king makes great city,king makes great city
plows hoe servant field,servant plows field hoe,servant plows field hoe
sees skins scribe three,scribe sees three skins,scribe sees three skins
walk woman road lake,woman walk lake road,woman walk lake road
basket woman grain carry,woman carry basket grain,woman carry basket grain
ankh life grant god,god grant life ankh,god grant life ankh
sweet soul youth feel,youth feel sweet soul,youth feel sweet soul
brick lift stone man,man lift brick stone,man lift stone brick
cuts club plant strong,strong club cuts plant,strong club cuts plant
servant open city bolt,servant open city bolt,servant open city bolt
cross town people bridge,people cross town bridge,people cross town bridge
youth old hears man,youth hears old man,youth hears old man
hill people mountain cross,people cross mountain hill,people cross mountain hill
scribe great king hears,scribe hears great king,scribe hears great king
feel heart woman sweet,woman feel sweet heart,woman feel sweet heart
soul guide mother youth,mother guide youth soul,mother guide youth soul
sky god star rule,god rule sky star,god rule sky star
road guide mother youth,mother guide youth road,mother guide youth road
protect mountain god town,god protect mountain town,god protect mountain town
woman river west see,woman see river west,woman see river west
field god grain bless,god bless field grain,god bless field grain
riverbank god people see,god see riverbank people,god see riverbank people
lotus bring offering servant,servant bring lotus offering,servant bring lotus offering
peace heart seek youth,youth seek heart peace,youth seek heart peace
woman feather truth see,woman see feather truth,woman see feather truth
man see star sky,man see star sky,man see star sky
people stone house build,people build stone house,people build stone house
field gather people grain,people gather grain field,people gather grain field
people great find soul,people find great soul,people find great soul
scribe speak master hears,master hears scribe speak,master hears scribe speak
emerges above snake desert,snake emerges above desert,snake emerges above desert
beautiful horizon sees king,king sees beautiful horizon,king sees beautiful horizon
shelter open servant reed,servant open reed shelter,servant open reed shelter
great servant temple sees,servant sees great temple,servant sees great temple
field plant woman lotus,woman plant lotus field,woman plant lotus field
servant open town gate,servant open town gate,servant open town gate
hold youth mother spirit,mother hold youth spirit,mother hold youth spirit
woman papyrus clump plant,woman plant papyrus clump,woman plant papyrus clump
bring satisfy peace servant,servant bring peace satisfy,servant bring peace satisfy
storm man fear sky,man fear storm sky,man fear storm sky
gives stone stability god,god gives stability stone,god gives stability stone
sees animal man belly,man sees animal belly,man sees animal belly
road river follow man,man follow river road,man follow river road
god strong power bless,god bless strong power,god bless strong power
gives great backbone power,backbone gives great power,backbone gives great power
man cobra stone see,man see cobra stone,man see cobra stone
strong man feel heart,man feel strong heart,man feel strong heart
peace great becomes heart,heart becomes great peace,heart becomes great peace
people pellet gather grain,people gather grain pellet,people gather grain pellet
scribe book makes beautiful,scribe makes beautiful book,scribe makes beautiful book
fire see man horizon,man see fire horizon,man see fire horizon
temple servant god serve,servant serve god temple,servant serve god temple
strong seek youth life,youth seek strong life,youth seek strong life
soul life seek youth,youth seek soul life,youth seek soul life
truth god heart loves,god loves heart truth,god loves heart truth
fill woman water jar,woman fill water jar,woman fill water jar
youth father strength guide,father guide youth strength,father guide youth strength
god lotus watch field,god watch lotus field,god watch lotus field
double see ka woman,woman see ka double,woman see ka double
hold father youth strength,father hold youth strength,father hold youth strength
great hears people king,king hears great people,king hears great people
hears man great god,man hears great god,man hears great god
woman plant finds lotus,woman finds lotus plant,woman finds lotus plant
seek strong youth power,youth seek strong power,youth seek strong power
loaf bread bring servant,servant bring bread loaf,servant bring bread loaf
see sky owl night,owl see night sky,owl see night sky
makes twisted flax hand,hand makes twisted flax,hand makes twisted flax
feel strong man soul,man feel strong soul,man feel strong soul
follow man road mountain,man follow mountain road,man follow mountain road
strong feel heart youth,youth feel strong heart,youth feel strong heart
above star soul becomes,soul becomes star above,soul becomes star above
build stone people house,people build stone house,people build stone house
river build town people,people build river town,people build river town
sweet man bring bread,man bring sweet bread,man bring sweet bread
youth climb hill stone,youth climb hill stone,youth climb stone hill
woman see owl sky,woman see owl sky,woman see owl sky
life people grant god,god grant people life,god grant people life
road sees riverbank woman,woman sees riverbank road,woman sees riverbank road
life guide youth father,father guide youth life,father guide youth life
mouth speaks feather truth,mouth speaks feather truth,mouth speaks feather truth
speaks sweet truth mouth,mouth speaks sweet truth,mouth speaks sweet truth
man hare sees desert,man sees desert hare,man sees desert hare
soul ba people honor,people honor soul ba,people honor soul ba
scribe rack jars sees,scribe sees jars rack,scribe sees jars rack
guide mother love youth,mother guide youth love,mother guide youth love
makes great city king,king makes great city,king makes great city
walk horizon people sky,people walk sky horizon,people walk sky horizon
loves beautiful father mother,father loves beautiful mother,father loves beautiful mother
becomes lake ripple water,water ripple becomes lake,water ripple becomes lake
god west watch horizon,god watch west horizon,god watch west horizon
desert walk road man,man walk desert road,man walk desert road
bring man milk jar,man bring milk jar,man bring milk jar
gate servant river open,servant open river gate,servant open river gate
youth mother soul give,mother give youth soul,mother give youth soul
bring altar peace servant,servant bring peace altar,servant bring peace altar
horizon see man storm,man see storm horizon,man see storm horizon
people beautiful loves god,god loves beautiful people,god loves beautiful people
desert god town watch,god watch desert town,god watch desert town
servant loaf conical gives,servant gives conical loaf,servant gives conical loaf
loaf makes servant bread,servant makes loaf bread,servant makes loaf bread
stone throne king sees,king sees stone throne,king sees stone throne
leaf gather reed people,people gather reed leaf,people gather reed leaf
people sees mighty lord,mighty lord sees people,mighty lord sees people
mother youth hold life,mother hold youth life,mother hold youth life
grain pellet bring servant,servant bring grain pellet,servant bring grain pellet
throne sees seat king,king sees seat throne,king sees seat throne
gives god djed stability,god gives stability djed,god gives stability djed
throne makes king stone,king makes stone throne,king makes stone throne
soul finds peace ba,soul ba finds peace,soul ba finds peace
mighty people fear storm,people fear mighty storm,people fear mighty storm
brick people build temple,people build brick temple,people build brick temple
servant bring ripple water,servant bring water ripple,servant bring water ripple
man see storm sky,man see storm sky,man see storm sky
plant reed woman leaf,woman plant reed leaf,woman plant reed leaf
lotus plant god bless,god bless lotus plant,god bless lotus plant
coil rope makes hand,hand makes coil rope,hand makes coil rope
scribe hears master speak,scribe hears master speak,master hears scribe speak
field protect god grain,god protect grain field,god protect grain field
god honor people throne,people honor god throne,people honor throne god
snake desert above emerges,snake emerges above desert,snake emerges above desert
water servant fill vessel,servant fill water vessel,servant fill water vessel
hear river storm man,man hear storm river,man hear storm river
door open house servant,servant open house door,servant open house door
soul god life gives,god gives life soul,god gives life soul
servant gate opens house,servant opens house gate,servant opens house gate
basket grain fill servant,servant fill grain basket,servant fill grain basket
lift stone man backbone,man lift backbone stone,man lift backbone stone
man lake drink water,man drink lake water,man drink lake water
sees beautiful writing scribe,scribe sees beautiful writing,scribe sees beautiful writing
mother youth hold peace,mother hold youth peace,mother hold youth peace
horizon sees man star,man sees horizon star,man sees horizon star
mouth speaks sweet peace,mouth speaks sweet peace,mouth speaks sweet peace
west road sees man,man sees road west,man sees road west
cuts old plant man,old man cuts plant,old man cuts plant
clump gather people papyrus,people gather papyrus clump,people gather papyrus clump
leaf finds reed hand,hand finds reed leaf,hand finds reed leaf
great hears scribe lord,scribe hears great lord,scribe hears great lord
watch west horizon god,god watch west horizon,god watch west horizon
clean house servant mat,servant clean house mat,servant clean house mat
clean servant reed mat,servant clean reed mat,servant clean reed mat
carry man coil rope,man carry rope coil,man carry coil rope
servant bring twisted flax,servant bring twisted flax,servant bring twisted flax
river see woman owl,woman see owl river,woman see owl river
voice hear soul god,god hear soul voice,god hear soul voice
watch sky hill god,god watch hill sky,god watch hill sky
man great stone finds,man finds great stone,man finds great stone
watch field god lotus,god watch lotus field,god watch lotus field
face beautiful sky sees,face sees beautiful sky,face sees beautiful sky
life youth heart seek,youth seek heart life,youth seek heart life
road finds foot mountain,foot finds mountain road,foot finds mountain road
see woman swallow great,woman see swallow great,woman see swallow great
heart woman child hold,woman hold child heart,woman hold child heart
man follow road horizon,man follow horizon road,man follow horizon road
bring servant peace satisfy,servant bring peace satisfy,servant bring peace satisfy
god king becomes strong,strong king becomes god,strong king becomes god
horizon god star watch,god watch star horizon,god watch star horizon
youth sees hare desert,youth sees desert hare,youth sees desert hare
feather see maat woman,woman see feather maat,woman see feather maat
see great woman swallow,woman see swallow great,woman see swallow great
handle finds basket woman,woman finds basket handle,woman finds basket handle
desert sees youth snake,youth sees desert snake,youth sees desert snake
jar father milk finds,father finds milk jar,father finds milk jar
becomes stone ring scarab,scarab becomes stone ring,scarab becomes stone ring
carry servant jar milk,servant carry milk jar,servant carry milk jar
speak king servant hears,servant hears king speak,servant hears king speak
mother youth hold soul,mother hold youth soul,mother hold youth soul
riverbank sees road father,father sees riverbank road,father sees riverbank road
woman water jar open,woman open jar water,woman open jar water
sees king sedge people,sedge king sees people,sedge king sees people
swallow woman see sky,woman see swallow sky,woman see swallow sky
peace youth father hold,father hold youth peace,father hold youth peace
man mountain old finds,old man finds mountain,old man finds mountain
writing beautiful scribe makes,scribe makes beautiful writing,scribe makes beautiful writing
gives power great backbone,backbone gives great power,backbone gives great power
see desert hill god,god see desert hill,god see desert hill
makes basket man handle,man makes basket handle,man makes basket handle
man hare desert sees,man sees desert hare,man sees desert hare
stone climb mountain youth,youth climb stone mountain,youth climb mountain stone
peace sweet people love,people love sweet peace,people love sweet peace
ankh gives life god,god gives life ankh,god gives life ankh
pellet bring servant grain,servant bring grain pellet,servant bring grain pellet
bolt hand door makes,hand makes door bolt,hand makes door bolt
man watch flow river,man watch river flow,man watch river flow
man eats grain pellet,man eats grain pellet,man eats grain pellet
gate servant river open,servant open river gate,servant open river gate
watch god gate temple,god watch temple gate,god watch temple gate
loves woman man seated,man loves seated woman,man loves seated woman
carry people vessel rope,people carry rope vessel,people carry rope vessel
man bread bring offering,man bring bread offering,man bring bread offering
servant milk bring offering,servant bring milk offering,servant bring milk offering
feel fear man storm,man feel fear storm,man feel fear storm
gives mother conical loaf,mother gives conical loaf,mother gives conical loaf
mountain desert see man,man see desert mountain,man see desert mountain
woman star horizon see,woman see star horizon,woman see star horizon
star god horizon watch,god watch star horizon,god watch star horizon
teach father youth road,father teach youth road,father teach youth road
handle basket makes man,man makes basket handle,man makes basket handle
temple bring woman offering,woman bring offering temple,woman bring offering temple
woman leaf carry reed,woman carry reed leaf,woman carry reed leaf
fear heart finds great,heart finds great fear,heart finds great fear
god people protect mountain,god protect mountain people,god protect mountain people
god power people grant,god grant power people,god grant power people
eats sweet loaf woman,woman eats sweet loaf,woman eats sweet loaf
youth seek life strong,youth seek strong life,youth seek strong life
head bird father hears,father hears bird head,father hears bird head
mother sweet milk give,mother give sweet milk,mother give sweet milk
servant great temple sees,servant sees great temple,servant sees great temple
storm hear sky woman,woman hear storm sky,woman hear storm sky
seated servant king seat,servant seat seated king,servant seat seated king
fire becomes storm mighty,mighty storm becomes fire,mighty storm becomes fire
servant loaf makes bread,servant makes loaf bread,servant makes loaf bread
man stone snake see,man see snake stone,man see snake stone
riverbank see woman lake,woman see lake riverbank,woman see lake riverbank
god protect west people,god protect west people,god protect west people
desert god horizon see,god see desert horizon,god see desert horizon
people temple praise god,people praise temple god,people praise temple god
strong heart youth seek,youth seek strong heart,youth seek strong heart
king temple great makes,king makes great temple,king makes great temple
youth rocky slope climb,youth climb rocky slope,youth climb rocky slope
man bring content peace,man bring peace content,man bring peace content
fill woman jar water,woman fill water jar,woman fill water jar
cuts strong plant club,strong club cuts plant,strong club cuts plant
god soul hear people,god hear people soul,god hear soul people
plant lotus woman garden,woman plant lotus garden,woman plant lotus garden
sky face sees beautiful,face sees beautiful sky,face sees beautiful sky
grant people god peace,god grant people peace,god grant people peace
behind cobra hill emerges,cobra emerges behind hill,cobra emerges behind hill
hear soul prayer god,god hear soul prayer,god hear soul prayer
king sees horizon beautiful,king sees beautiful horizon,king sees beautiful horizon
garden woman plant lotus,woman plant lotus garden,woman plant lotus garden
youth peace teach father,father teach youth peace,father teach youth peace
bless strong god power,god bless strong power,god bless strong power
god horizon watch west,god watch west horizon,god watch west horizon
hold youth strength mother,mother hold youth strength,mother hold youth strength
fear mighty fire people,people fear mighty fire,people fear mighty fire
bring man vessel milk,man bring milk vessel,man bring milk vessel
youth heart life feel,youth feel heart life,youth feel heart life
fill basket grain servant,servant fill grain basket,servant fill grain basket
finds peace ba soul,soul ba finds peace,soul ba finds peace
lake servant guard gate,servant guard lake gate,servant guard lake gate
people city god bless,god bless city people,god bless city people
road man sees mountain,man sees mountain road,man sees mountain road
walk desert hill people,people walk desert hill,people walk desert hill
sweet offering woman makes,woman makes sweet offering,woman makes sweet offering
milk jar gives servant,servant gives milk jar,servant gives milk jar
youth power feel strong,youth feel strong power,youth feel strong power
peace great heart becomes,heart becomes great peace,heart becomes great peace
king throne great gives,king gives great throne,king gives great throne
finds woman basket handle,woman finds basket handle,woman finds basket handle
man offering bring sweet,man bring sweet offering,man bring sweet offering
papyrus makes scribe clump,scribe makes papyrus clump,scribe makes papyrus clump
woman plant lotus field,woman plant lotus field,woman plant lotus field
people gather lotus altar,people gather lotus altar,people gather lotus altar
road woman horizon walk,woman walk horizon road,woman walk horizon road
mother soul guide youth,mother guide youth soul,mother guide youth soul
town servant guard gate,servant guard town gate,servant guard town gate
sweet god grant life,god grant sweet life,god grant sweet life
feel fire man heart,man feel fire heart,man feel fire heart
hear people god soul,god hear people soul,god hear soul people
soul grant god people,god grant soul people,god grant soul people
ripple woman hear river,woman hear river ripple,woman hear river ripple
ka spirit people honor,people honor ka spirit,people honor ka spirit
hill slope king sees,king sees hill slope,king sees hill slope
gather pellet grain people,people gather grain pellet,people gather grain pellet
plant reed woman field,woman plant reed field,woman plant reed field
head bird mother sees,mother sees bird head,mother sees bird head
desert see man hare,man see desert hare,man see desert hare
soul youth teach father,father teach youth soul,father teach youth soul
makes throne stone king,king makes stone throne,king makes stone throne
sees chick quail owl,owl sees quail chick,owl sees quail chick
bread loaf servant makes,servant makes loaf bread,servant makes loaf bread
sweet finds love heart,heart finds sweet love,heart finds sweet love
servant seat throne guard,servant guard throne seat,servant guard throne seat
god watch west river,god watch river west,god watch river west
soul hold mother youth,mother hold youth soul,mother hold youth soul
gather papyrus clump people,people gather papyrus clump,people gather papyrus clump
plows field servant great,servant plows great field,servant plows great field
seated god throne rule,god rule seated throne,god rule seated throne
beautiful god loves people,god loves beautiful people,god loves beautiful people
feel strong life youth,youth feel strong life,youth feel strong life
people thing great find,people find great thing,people find great thing
makes shelter servant reed,servant makes reed shelter,servant makes reed shelter
cross people mountain road,people cross mountain road,people cross mountain road
king rope finds tethering,king finds tethering rope,king finds tethering rope
great opens gate king,king opens great gate,king opens great gate
see owl man horizon,man see owl horizon,man see owl horizon
swallow sky hear woman,woman hear swallow sky,woman hear swallow sky
life strong youth feel,youth feel strong life,youth feel strong life
snake belly animal eats,snake eats animal belly,snake eats animal belly
mat clean servant temple,servant clean temple mat,servant clean temple mat
guard servant city town,servant guard city town,servant guard city town
life feel sweet woman,woman feel sweet life,woman feel sweet life
strong heart woman feel,woman feel strong heart,woman feel strong heart
see town city god,god see city town,god see city town
plant bring servant lotus,servant bring lotus plant,servant bring lotus plant
servant bring fox three,servant bring three fox,servant bring three fox
man basket handle carry,man carry basket handle,man carry basket handle
ring scarab becomes stone,scarab becomes stone ring,scarab becomes stone ring
servant guard town riverbank,servant guard riverbank town,servant guard riverbank town
desert viper finds horned,horned viper finds desert,horned viper finds desert
people god power praise,people praise god power,people praise god power
man bread offering bring,man bring bread offering,man bring bread offering
hide hill cobra stone,cobra hide stone hill,cobra hide stone hill
field great plows servant,servant plows great field,servant plows great field
power youth guide mother,mother guide youth power,mother guide youth power
shelter plant reed woman,woman plant reed shelter,woman plant reed shelter
hill desert sees hare,desert hare sees hill,desert hare sees hill
mother makes sweet loaf,mother makes sweet loaf,mother makes sweet loaf
life sweet woman love,woman love sweet life,woman love sweet life
bolt sees youth door,youth sees door bolt,youth sees door bolt
father soul youth hold,father hold youth soul,father hold youth soul
truth man old speaks,old man speaks truth,old man speaks truth
sees star ba soul,soul ba sees star,soul ba sees star
people slope hill cross,people cross hill slope,people cross hill slope
servant riverbank guard gate,servant guard riverbank gate,servant guard riverbank gate
father three gives skins,father gives three skins,father gives three skins
god bless king seated,god bless seated king,god bless seated king
stone brick makes scribe,scribe makes stone brick,scribe makes stone brick
gate open temple people,people open temple gate,people open temple gate
truth heart god loves,god loves heart truth,god loves heart truth
speaks mouth sweet peace,mouth speaks sweet peace,mouth speaks sweet peace
people god river protect,god protect river people,god protect river people
ripple lake water finds,water ripple finds lake,water ripple finds lake
servant milk vessel fill,servant fill vessel milk,servant fill vessel milk
desert god see horizon,god see desert horizon,god see desert horizon
gate god temple watch,god watch temple gate,god watch temple gate
jar servant fill milk,servant fill milk jar,servant fill milk jar
woman path walk riverbank,woman walk riverbank path,woman walk riverbank path
hill snake above emerges,snake emerges above hill,snake emerges above hill
river cross lake people,people cross lake river,people cross lake river
behind cobra emerges hill,cobra emerges behind hill,cobra emerges behind hill
book beautiful makes scribe,scribe makes beautiful book,scribe makes beautiful book
people great snake fear,people fear great snake,people fear great snake
road finds great father,father finds great road,father finds great road
desert mountain see man,man see desert mountain,man see desert mountain
great power god bless,god bless great power,god bless great power
great soul altar finds,soul finds great altar,soul finds great altar
basket finds woman handle,woman finds basket handle,woman finds basket handle
sees king hill slope,king sees hill slope,king sees hill slope
ba soul honor people,people honor soul ba,people honor soul ba
river ripple man drink,man drink river ripple,man drink river ripple
see woman sky swallow,woman see swallow sky,woman see swallow sky
seated honor king people,people honor seated king,people honor seated king
great bless life god,god bless great life,god bless great life
water woman jar carry,woman carry water jar,woman carry jar water
gather pellet grain people,people gather grain pellet,people gather grain pellet
people mountain cross pass,people cross mountain pass,people cross mountain pass
soul great finds altar,soul finds great altar,soul finds great altar
soul youth guide mother,mother guide youth soul,mother guide youth soul
man sack grain lift,man lift grain sack,man lift grain sack
finds woman stone vessel,woman finds stone vessel,woman finds stone vessel
house bolt servant open,servant open house bolt,servant open house bolt
sees rack servant jars,servant sees jars rack,servant sees jars rack
clean temple servant stool,servant clean temple stool,servant clean temple stool
god grant peace people,god grant people peace,god grant people peace
open house gate people,people open house gate,people open house gate
youth peace heart seek,youth seek heart peace,youth seek heart peace
cross shore lake people,people cross lake shore,people cross lake shore
rule seat throne god,god rule throne seat,god rule throne seat
horizon man sees star,man sees horizon star,man sees horizon star
hill king sees slope,king sees hill slope,king sees hill slope
youth feel life strong,youth feel strong life,youth feel strong life
belly animal water finds,animal belly finds water,animal belly finds water
youth sees great town,youth sees great town,youth sees great town
sees heart truth god,god sees heart truth,god sees heart truth
lord scribe hears great,scribe hears great lord,scribe hears great lord
people hill cross slope,people cross hill slope,people cross hill slope
gate people river open,people open river gate,people open river gate
makes sweet mother loaf,mother makes sweet loaf,mother makes sweet loaf
bless power god great,god bless great power,god bless great power
praise throne people god,people praise god throne,people praise god throne
hill walk woman slope,woman walk hill slope,woman walk hill slope
offering god loves sweet,god loves sweet offering,god loves sweet offering
life gives great god,god gives great life,god gives great life
hill people cross riverbank,people cross riverbank hill,people cross riverbank hill
owl hear woman sky,woman hear owl sky,woman hear owl sky
woman plant grain field,woman plant grain field,woman plant grain field
three sees scribe skins,scribe sees three skins,scribe sees three skins
feel soul youth strong,youth feel strong soul,youth feel strong soul
man old cuts plant,old man cuts plant,old man cuts plant
honor god city people,people honor god city,people honor god city
sky rule god mountain,god rule mountain sky,god rule mountain sky
life strong man feel,man feel strong life,man feel strong life
man feel heart fear,man feel heart fear,man feel fear heart
gate servant town guard,servant guard town gate,servant guard town gate
hand hold youth mother,mother hold youth hand,mother hold youth hand
open gate temple people,people open temple gate,people open temple gate
open door town people,people open town door,people open town door
mother heart youth guide,mother guide youth heart,mother guide youth heart
gives father skins three,father gives three skins,father gives three skins
guide love mother youth,mother guide youth love,mother guide youth love
give strong mother life,mother give strong life,mother give strong life
heart man power feel,man feel heart power,man feel heart power
